Counter Presentation Path,Proposed Alias Naming
[ALU].[ALU CS 2G CELL Hourly].[Call Setup Success Rate - 2G_Numerator2],Call Setup Success 
[ALU].[ALU CS 2G CELL Hourly].[Call Setup Success Rate - 2G_Denominator2],Call Setup Attempt
[ALU].[ALU CS 2G CELL Hourly].[Call Setup Success Rate - 2G_Denominator1],Call Setup Attempt
[ALU].[ALU CS 2G CELL Hourly].[Call Success Ratio_Numerator1],
[ALU].[ALU CS 2G CELL Hourly].[Call Success Ratio_Numerator3],
[ALU].[ALU CS 2G CELL Hourly].[Call Success Ratio_Numerator2],
[ALU].[ALU CS 2G CELL Hourly].[Call Success Ratio_Denominator2],
[ALU].[ALU CS 2G CELL Hourly].[Call Success Ratio_Denominator1],
[ALU].[ALU CS 2G CELL Hourly].[Call Success Ratio_Denominator3],
[ALU].[ALU CS 2G CELL Hourly].[Incoming HO Success Rate_Numerator],Incoming HO Success 
[ALU].[ALU CS 2G CELL Hourly].[Incoming HO Success Rate_Denominator],Incoming HO Attempt
[ALU].[ALU CS 2G CELL Hourly].[Outgoing HO Success Rate_Denominator],Outgoing HO Attempt
[ALU].[ALU CS 2G CELL Hourly].[Outgoing HO Success Rate_Numerator],Outgoing HO Success 
[ALU].[ALU CS 2G CELL Hourly].[TCH Availability_Denominator],
[ALU].[ALU CS 2G CELL Hourly].[TCH Availability_Numerator],
[ALU].[ALU CS 2G CELL Hourly].[TCH Blocking Rate (Congestion)_Numerator],TCH Blocking 
[ALU].[ALU CS 2G CELL Hourly].[TCH Blocking Rate (Congestion)_Denominator],TCH Attempt
[2G].[ALU_CS_2G_CELL_Hourly].[ALU_UDC1120120],
[ALU].[ALU PS 2G CELL Hourly].[TBF Establishment Success Rate DL_Denominator],TBF Establishment Attempt
[ALU].[ALU PS 2G CELL Hourly].[TBF Establishment Success Rate DL_Numerator],TBF Establishment Success 
[ALU].[ALU PS 2G CELL Hourly].[PDCH Congestion Rate Num],
[ALU].[ALU PS 2G CELL Hourly].[PDCH Congestion Rate Den],
[ALU].[ALU CS 3G CELL Hourly].[Cell Availability_Numerator],
[ALU].[ALU CS 3G CELL Hourly].[CS AMR Call Drop Rate_Denominator],CS AMR Call Attempt
[ALU].[ALU CS 3G CELL Hourly].[CS AMR Call Drop Rate_Numerator],CS AMR Call Drop 
[3G].[ALU_CS_3G_CELL_Hourly].[ALU_UDC1120037],
[ALU].[ALU CS 3G CELL Hourly].[CS Call Drop Rate Den],
[ALU].[ALU CS 3G CELL Hourly].[CS Call Drop Rate Num],
[ALU].[ALU CS 3G CELL Hourly].[CS RAB Success Rate_Denominator],CS RAB Attempt
[ALU].[ALU CS 3G CELL Hourly].[CS RAB Success Rate_Numerator],CS RAB Success 
[ALU].[ALU CS 3G CELL Hourly].[CS RRC Success Rate_Numerator],CS RRC Success 
[ALU].[ALU CS 3G CELL Hourly].[CS RRC Success Rate_Denominator],CS RRC Attempt
[ALU].[ALU CS 3G CELL Hourly].[Inter-RAT HO Success Rate_Denominator],Inter-RAT HO Attempt
